Date,Open,High,Low,Close,Volume,MA20,MA50,Daily Return,Drawdown
2026-03-16,252.11,253.89,249.88,252.82,32074200,262.6015,262.2048,0.0108,-0.1158
2026-03-17,252.96,255.13,252.18,254.23,32361600,262.119,261.8743,0.0056,-0.1108
2026-03-18,252.63,254.94,249.0,249.94,35757900,261.3985,261.5329,-0.0169,-0.1258
2026-03-19,249.4,251.83,247.3,248.96,34864100,260.8175,261.2698,-0.0039,-0.1293
2026-03-20,247.98,249.2,246.0,247.99,88331100,259.988,261.0279,-0.0039,-0.1327
2026-03-23,253.97,254.6,250.28,251.49,40546100,259.2535,260.8817,0.0141,-0.1204
2026-03-24,250.35,254.83,249.55,251.64,45152300,258.2285,260.732,0.0006,-0.1199
2026-03-25,254.1,255.0,251.6,252.62,28476700,257.148,260.5842,0.0039,-0.1165
2026-03-26,252.12,257.0,250.77,252.89,41796700,256.145,260.4259,0.0011,-0.1155
2026-03-27,253.9,255.49,248.07,248.8,47900000,255.376,260.2076,-0.0162,-0.1298
2026-03-30,250.07,250.87,245.51,246.63,39446200,254.4715,259.9808,-0.0087,-0.1374
2026-03-31,247.91,255.48,247.1,253.79,49598100,253.9735,259.9508,0.029,-0.1124
2026-04-01,254.08,256.18,253.33,255.63,40059400,253.629,260.134,0.0073,-0.1059
2026-04-02,254.2,256.13,250.65,255.92,31289400,253.4105,260.304,0.0011,-0.1049
2026-04-06,256.51,262.16,256.46,258.86,29329900,253.4805,260.5189,0.0115,-0.0946
2026-04-07,256.16,256.2,245.7,253.5,62148000,253.1615,260.6327,-0.0207,-0.1134
2026-04-08,258.45,259.75,256.53,258.9,41032800,253.065,260.7073,0.0213,-0.0945
2026-04-09,259.0,261.12,256.07,260.49,28121600,253.049,260.7565,0.0061,-0.0889
2026-04-10,259.98,262.19,259.02,260.48,31259500,253.285,260.8421,-0.0,-0.089
2026-04-13,259.86,260.18,256.66,257.99,17070697,253.6785,260.8411,-0.0096,-0.0977
